Code,Population
41110A,1185569
41280,1079065
41460,1075784
48120,1028875
41130,929463
41590,890668
43110,848875
41190,802473
41360,734033
11710,662607
44130,656702
45110,655879
41270,651153
11500,573046
41220,568405
28260,565436
41170,549826
27290,542328
48250,536662
11680,532577
28200,516176
41390,512455
11350,510486
47110,501691
50110,493023
11620,486375
41480,486131
41570,485882
28237,484844
41135,484680
41281,484122
30170,472417
11380,472259
41150,464262
11740,461300
11470,446182
41463,440826
27230,437284
11290,433150
29170,427178
27260,415829
47190,410412
11650,409823
28177,406943
29200,403407
44133,401768
11530,396017
26350,393809
11260,389043
28185,388732
41610,388213
11590,386017
36110,377296
11560,376740
41465,375172
41113,369288
11440,368331
41117,361145
42130,358659
48330,354386
30200,351989
26230,351154
41271,349670
48170,345957
27140,341498
11215,340707
11230,337982
45111,334531
44200,328576
41450,323442
45113,321348
11320,316098
41173,313589
31140,312328
11410,305866
26380,305762
41273,301483
41285,299256
11305,297384
41287,295687
28245,294201
41210,290698
29140,289789
42110,285372
11200,285073
26320,281198
46150,280719
45140,277151
46130,276145
26260,274134
41111,273541
47113,271870
47290,267844
43113,267299
41410,267173
45130,264656
27710,262372
26290,260581
41461,259786
44131,254934
47130,251154
48123,250100
48310,239554
41630,236239
41171,236237
41131,235377
11545,231098
41370,229918
47111,229821
30140,229497
26410,225608
41500,222714
11170,222169
31710,221777
30110,220860
31200,219052
46110,218241
48121,217224
29155,215008
42150,212642
31110,211523
41133,209406
43130,208946
26470,206932
26530,206804
48129,194670
43111,194484
43114,194176
43112,192916
41310,191213
41550,189539
48127,185646
50130,184195
41115,181595
48125,181235
26710,176570
44210,176452
30230,175294
26500,174661
44270,166971
27170,163042
41430,162493
47170,156182
31170,153330
46230,151410
41650,148527
28110,145672
11110,144275
26440,143429
27200,142437
47150,140078
43150,132416
48220,124872
11140,122173
41830,121726
46170,116497
44230,114043
47850,113455
41670,112393
26200,109660
48240,109617
45180,106187
26140,104323
48270,103482
44150,103214
29110,103081
47210,101599
47230,101552
44800,99125
44180,97959
47250,95771
41250,93346
43770,92155
45710,91041
46840,90874
42170,89804
26170,88283
43750,85596
42210,82737
45210,80806
45190,79015
41290,78128
44810,76443
27110,75704
47280,72283
28710,69780
42720,68047
46820,66961
42230,64264
44760,63324
46790,62643
46770,62527
48730,62269
41820,62221
44825,61437
48880,60841
28140,60382
48740,59767
47900,55538
45790,53151
46830,52970
46870,51947
45800,50615
44770,50597
47730,50560
44710,50290
48820,50126
43730,49887
46890,48329
47930,47483
42730,46401
46710,46208
43740,45536
44250,43419
46880,43241
48850,43114
42780,42964
47840,42944
41800,42784
48890,42716
48840,42221
47820,41781
42760,41136
26110,40596
42190,40331
46780,39200
48870,38283
46910,38113
42750,38003
43760,37323
43745,36822
46800,36298
42770,35446
47770,35166
48860,34197
46810,33534
42810,32216
43720,31800
46860,31167
47920,30594
44790,30547
47830,30525
46900,29915
43800,28128
42830,27901
46720,27432
42820,27366
45770,26689
45750,26664
48720,26335
46730,25130
45720,24961
47750,24538
42790,24046
45730,23745
47720,23258
42800,21701
45740,21645
28720,20533
47760,16256
47940,8977
28114,0
28118,0
28265,0
41222,0
41224,0
41362,0
41592,0
41594,0
45118,0
45145,0
48245,0
48252,0
48332,0
